Name,Type,Category,Price,Location,County,No. of Bedrooms,No. of Bathrooms,No. of Ensuite Bedrooms,Date,Floor_area_sqm,Land_Size,Elevator,Parking,Condition,DSQ,Floor_Number,URL
2 Bed Apartment in Kilimani,Residential,Apartment,"KSh 7,000,000",Kilimani,Nairobi,2,2,1,2026-06-15,61,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4010031
2 Bed Apartment at Wood Avenue,Residential,Apartment,"KSh 12,000,000",Kilimani,Nairobi,2,2,1,2026-06-15,105,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4010033
1 Bed Apartment at Wood Avenue,Residential,Apartment,"KSh 8,700,000",Kilimani,Nairobi,1,1,1,2026-06-15,75,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4010025
5 Bed Townhouse in Kitisuru,Residential,Townhouse,"KSh 140,000,000","Kitisuru, Westlands",Nairobi,5,6,1,2026-06-15,,,0,1,,1,,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kitisuru-4010024
4 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 20,000,000",Kileleshwa,Nairobi,4,5,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-4009399
3 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 9,000,000",Kileleshwa,Nairobi,3,3,1,2026-06-15,114,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4009423
2 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 7,000,000",Kileleshwa,Nairobi,2,2,1,2026-06-15,73,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-4009396
1 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 4,000,000",Kileleshwa,Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4009395
4 Bed Apartment in Lavington,Residential,Apartment,"KSh 20,000,000",Lavington,Nairobi,4,5,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-lavington-4009451
3 Bed Apartment in Lavington,Residential,Apartment,"KSh 9,000,000",Lavington,Nairobi,3,3,1,2026-06-15,91,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-4009418
