Name,Type,Category,Price,Location,County,No. of Bedrooms,No. of Bathrooms,No. of Ensuite Bedrooms,Date,Floor_area_sqm,Land_Size,Elevator,Parking,Condition,DSQ,Floor_Number,URL
1 Bed Apartment in Kilimani,Residential,Apartment,"KSh 3,000,000",Kilimani,,1.0,1.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4018657
1 Bed Apartment in Kilimani,Residential,Apartment,"KSh 4,000,000",Kilimani,,1.0,1.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4018656
4 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 17,900,000","Westlands Area, Westlands",,4.0,4.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4018654
4 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 17,900,000","Westlands Area, Westlands",,4.0,4.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4018653
3 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 11,000,000","Westlands Area, Westlands",,3.0,3.0,1.0,2026-06-29,108.0,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-westlands-area-4018652
3 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 11,000,000","Westlands Area, Westlands",,3.0,3.0,1.0,2026-06-29,107.0,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-westlands-area-4018651
2 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 7,000,000","Westlands Area, Westlands",,2.0,2.0,1.0,2026-06-29,51.0,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4018649
2 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 7,500,000","Westlands Area, Westlands",,2.0,2.0,1.0,2026-06-29,67.0,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4018648
1 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 4,000,000","Westlands Area, Westlands",,1.0,1.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4018645
1 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 4,500,000","Westlands Area, Westlands",,1.0,1.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4018644
4 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 18,000,000","Westlands Area, Westlands",,4.0,4.0,1.0,2026-06-29,150.0,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4018683
3 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 13,000,000","Westlands Area, Westlands",,3.0,2.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-westlands-area-4018682
